"LP.","Data","Typ instrumentu","Nazwa","ISIN","Kurs otwarcia","Kurs maksymalny","Kurs minimalny","Kurs zamkniecia","Zmiana","Wolumen obrotu","Liczba transakcji","Wartosc obrotu w tys. zl","Liczba otwartych pozycji","Wartosc otwartych pozycji w mln zl","Cena nominalna obligacji","Waluta"
1,"2007-11-19",10,"ASSECOBS","PLABS0000018","11,05",12,"11,05","11,32","2,91",68433,88,"1567,72",0,0,0,
2,"2007-11-20",10,"ASSECOBS","PLABS0000018","11,33","11,5","11,2","11,5","1,59",7945,21,"180,05",0,0,0,
3,"2007-11-21",10,"ASSECOBS","PLABS0000018","11,6","11,6","11,41","11,5",0,14736,25,"339,29",0,0,0,
4,"2007-11-22",10,"ASSECOBS","PLABS0000018","11,5","11,5",11,11,"-4,35",1026,6,"23,33",0,0,0,
5,"2007-11-23",10,"ASSECOBS","PLABS0000018","11,1","11,6","11,1","11,6","5,45",2406,11,"55,45",0,0,0,
6,"2007-11-26",10,"ASSECOBS","PLABS0000018",12,12,"11,6","11,8","1,72",6679,12,"155,59",0,0,0,
7,"2007-11-27",10,"ASSECOBS","PLABS0000018",0,0,0,"11,8",0,0,0,0,0,0,0,
8,"2007-11-28",10,"ASSECOBS","PLABS0000018","11,85",12,"11,85",12,"1,69",1017,5,"24,25",0,0,0,
9,"2007-11-29",10,"ASSECOBS","PLABS0000018","12,1","12,1","12,1","12,1","0,83",10,1,"0,24",0,0,0,
10,"2007-11-30",10,"ASSECOBS","PLABS0000018",0,0,0,"12,1",0,0,0,0,0,0,0,
11,"2007-12-03",10,"ASSECOBS","PLABS0000018","11,33",12,"11,11",12,"-0,83",200,4,"4,62",0,0,0,
12,"2007-12-04",10,"ASSECOBS","PLABS0000018",0,0,0,12,0,0,0,0,0,0,0,
13,"2007-12-05",10,"ASSECOBS","PLABS0000018","12,9","12,9","12,9","12,9","7,5",4,1,"0,1",0,0,0,
14,"2007-12-06",10,"ASSECOBS","PLABS0000018","12,1","12,1","12,1","12,1","-6,2",711,3,"17,21",0,0,0,
15,"2007-12-07",10,"ASSECOBS","PLABS0000018","12,2","12,2","11,9","11,9","-1,65",575,3,"13,7",0,0,0,
16,"2007-12-10",10,"ASSECOBS","PLABS0000018",12,"12,1",12,"12,1","1,68",1128,6,"27,1",0,0,0,
17,"2007-12-11",10,"ASSECOBS","PLABS0000018","11,67","12,1","11,67","12,1",0,569,2,"13,28",0,0,0,
18,"2007-12-12",10,"ASSECOBS","PLABS0000018","11,99","12,3","11,9","12,3","1,65",6407,14,"155,75",0,0,0,
